name;sku;gtin;product_number;descriptionDK;product_name;color_code;color;pantone;hex;size_code;size;price\/amount;price\/currency;stock;weight;tariff_number;country_of_origin;main_category;sub_categories;images\/packshots;iamges\/modelShots;washingInstructions
ST4003 Fox T-shirt;'0040030342;5714485103587;ST4003;Quality: 100% cottonWeight: 160 g/m²Single jerseyModern tubular T-shirt in a good quality.&nbspNeck and shoulder band&nbspwith chain stitching.Name and size print in the neck.&nbsp;Fox T-shirt;03;Black;Black;#000000;42;XS;9,87;DKK;0;0;61091000;Bangladesh;T-Shirts;Outlet, ;http://download.stormtextil.dk/WebShop/PackShots/004003_Black_03_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/004003_Black_03_front.JPG, http://download.stormtextil.dk/WebShop/PackShots/004003_Black_03_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/004003_Fox_T-Shirt_01.JPG, ;
ST4003 Fox T-shirt;'004003035;5714485103594;ST4003;Quality: 100% cottonWeight: 160 g/m²Single jerseyModern tubular T-shirt in a good quality.&nbspNeck and shoulder band&nbspwith chain stitching.Name and size print in the neck.&nbsp;Fox T-shirt;03;Black;Black;#000000;5;S;9,87;DKK;6;0;61091000;Bangladesh;T-Shirts;Outlet, ;http://download.stormtextil.dk/WebShop/PackShots/004003_Black_03_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/004003_Black_03_front.JPG, http://download.stormtextil.dk/WebShop/PackShots/004003_Black_03_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/004003_Fox_T-Shirt_01.JPG, ;
ST4003 Fox T-shirt;'004003037;5714485103617;ST4003;Quality: 100% cottonWeight: 160 g/m²Single jerseyModern tubular T-shirt in a good quality.&nbspNeck and shoulder band&nbspwith chain stitching.Name and size print in the neck.&nbsp;Fox T-shirt;03;Black;Black;#000000;7;L;9,87;DKK;0;0;61091000;Bangladesh;T-Shirts;Outlet, ;http://download.stormtextil.dk/WebShop/PackShots/004003_Black_03_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/004003_Black_03_front.JPG, http://download.stormtextil.dk/WebShop/PackShots/004003_Black_03_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/004003_Fox_T-Shirt_01.JPG, ;
ST4003 Fox T-shirt;'004003016;5714485103464;ST4003;Quality: 100% cottonWeight: 160 g/m²Single jerseyModern tubular T-shirt in a good quality.&nbspNeck and shoulder band&nbspwith chain stitching.Name and size print in the neck.&nbsp;Fox T-shirt;01;White;White;#ffffff;6;M;9,87;DKK;62;0;61091000;Bangladesh;T-Shirts;Outlet, ;http://download.stormtextil.dk/WebShop/PackShots/004003_White_01_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/004003_White_01_front.JPG, http://download.stormtextil.dk/WebShop/PackShots/004003_White_01_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/004003_Fox_T-Shirt_01.JPG, ;
ST4003 Fox T-shirt;'004003018;5714485103488;ST4003;Quality: 100% cottonWeight: 160 g/m²Single jerseyModern tubular T-shirt in a good quality.&nbspNeck and shoulder band&nbspwith chain stitching.Name and size print in the neck.&nbsp;Fox T-shirt;01;White;White;#ffffff;8;XL;9,87;DKK;759;0;61091000;Bangladesh;T-Shirts;Outlet, ;http://download.stormtextil.dk/WebShop/PackShots/004003_White_01_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/004003_White_01_front.JPG, http://download.stormtextil.dk/WebShop/PackShots/004003_White_01_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/004003_Fox_T-Shirt_01.JPG, ;
ST145;'0001450140;5714485102566;ST145;&nbsp&nbspQuality: 100% carded cottonOxford Grey 85% cotton / 15% viscoseWeight: 145 g/m²Single jerseyAdult sizes are tubular knitBox: 50 pcs., pack: 10 pcs.&nbspThe ST145&nbspis a great t-shirt for the price.The cotton is carded and not combed as in our other products. It helps keep the price down.The T-shirt is especially suitable for events where all ages should attend.It is available in 11 sizes and 8 colors.All adult sizes are tubular knit and children sizes have side seams.The t-shirt is hemmed with double stitches and a cotton rib in the neckline.&nbsp;;01;White;White;#ffffff;40;12-14 Years;13,5;DKK;1846;0,08;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000145_White_01_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/000145_White_01_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000145_White_01_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_02c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_03c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_04c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_05c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_06c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_07.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_08.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_09c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_10c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_11c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_12c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_13c.JPG, ;http://download.stormtextil.dk/WebShop/Washing_instructions/Storm_washing_instructions_40.png, 
ST145;'000145013;5714485102559;ST145;&nbsp&nbspQuality: 100% carded cottonOxford Grey 85% cotton / 15% viscoseWeight: 145 g/m²Single jerseyAdult sizes are tubular knitBox: 50 pcs., pack: 10 pcs.&nbspThe ST145&nbspis a great t-shirt for the price.The cotton is carded and not combed as in our other products. It helps keep the price down.The T-shirt is especially suitable for events where all ages should attend.It is available in 11 sizes and 8 colors.All adult sizes are tubular knit and children sizes have side seams.The t-shirt is hemmed with double stitches and a cotton rib in the neckline.&nbsp;;01;White;White;#ffffff;3;8-10 Years;13,5;DKK;1795;0,08;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000145_White_01_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/000145_White_01_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000145_White_01_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_02c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_03c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_04c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_05c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_06c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_07.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_08.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_09c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_10c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_11c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_12c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_13c.JPG, ;http://download.stormtextil.dk/WebShop/Washing_instructions/Storm_washing_instructions_40.png, 
ST145;'000145015;5714485102580;ST145;&nbsp&nbspQuality: 100% carded cottonOxford Grey 85% cotton / 15% viscoseWeight: 145 g/m²Single jerseyAdult sizes are tubular knitBox: 50 pcs., pack: 10 pcs.&nbspThe ST145&nbspis a great t-shirt for the price.The cotton is carded and not combed as in our other products. It helps keep the price down.The T-shirt is especially suitable for events where all ages should attend.It is available in 11 sizes and 8 colors.All adult sizes are tubular knit and children sizes have side seams.The t-shirt is hemmed with double stitches and a cotton rib in the neckline.&nbsp;;01;White;White;#ffffff;5;S;14,5;DKK;2648;0,12;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000145_White_01_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/000145_White_01_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000145_White_01_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_02c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_03c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_04c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_05c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_06c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_07.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_08.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_09c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_10c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_11c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_12c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_13c.JPG, ;http://download.stormtextil.dk/WebShop/Washing_instructions/Storm_washing_instructions_40.png, 
ST145;'000145037;5714485103297;ST145;&nbsp&nbspQuality: 100% carded cottonOxford Grey 85% cotton / 15% viscoseWeight: 145 g/m²Single jerseyAdult sizes are tubular knitBox: 50 pcs., pack: 10 pcs.&nbspThe ST145&nbspis a great t-shirt for the price.The cotton is carded and not combed as in our other products. It helps keep the price down.The T-shirt is especially suitable for events where all ages should attend.It is available in 11 sizes and 8 colors.All adult sizes are tubular knit and children sizes have side seams.The t-shirt is hemmed with double stitches and a cotton rib in the neckline.&nbsp;;03;Black;Black;#000000;7;L;14,5;DKK;12152;0,14;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000145_Black_03_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/000145_Black_03_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000145_Black_03_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_02c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_03c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_04c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_05c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_06c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_07.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_08.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_09c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_10c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_11c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_12c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_13c.JPG, ;http://download.stormtextil.dk/WebShop/Washing_instructions/Storm_washing_instructions_40.png, 
ST145;'0001450590;5714485103167;ST145;&nbsp&nbspQuality: 100% carded cottonOxford Grey 85% cotton / 15% viscoseWeight: 145 g/m²Single jerseyAdult sizes are tubular knitBox: 50 pcs., pack: 10 pcs.&nbspThe ST145&nbspis a great t-shirt for the price.The cotton is carded and not combed as in our other products. It helps keep the price down.The T-shirt is especially suitable for events where all ages should attend.It is available in 11 sizes and 8 colors.All adult sizes are tubular knit and children sizes have side seams.The t-shirt is hemmed with double stitches and a cotton rib in the neckline.&nbsp;;05;Blue Navy;PMS 533 C;#1f2a44;90;2XL;14,5;DKK;557;0,18;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000145_BlueNavy_05_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/000145_BlueNavy_05_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000145_BlueNavy_05_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_02c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_03c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_04c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_05c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_06c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_07.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_08.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_09c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_10c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_11c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_12c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000145_Basic_13c.JPG, ;http://download.stormtextil.dk/WebShop/Washing_instructions/Storm_washing_instructions_40.png, 
