name;sku;gtin;product_number;descriptionDK;product_name;color_code;color;pantone;hex;size_code;size;price\/amount;price\/currency;stock;weight;tariff_number;country_of_origin;main_category;sub_categories;images\/packshots;iamges\/modelShots;washingInstructions
ST303 Uni Style;'000303015o;5714485037622;ST303;&nbspQuality: 100% combed and enzyme washed cottonWeight: 200 g/m²InterlockBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Uni Style is a tight fitted T-shirt with double stitches and stitches on the side. It has a round neck and a narrow neck band.;Uni Style;01;White;White;#ffffff;5;S;32,25;DKK;274;0,17;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000303_White_01_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000303_White_01_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000303_White_01_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_01.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_02.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_03.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_05c.jpg, ;
ST303 Uni Style;'000303035o;5714485037851;ST303;&nbspQuality: 100% combed and enzyme washed cottonWeight: 200 g/m²InterlockBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Uni Style is a tight fitted T-shirt with double stitches and stitches on the side. It has a round neck and a narrow neck band.;Uni Style;03;Black;Black;#000000;5;S;32,25;DKK;280;0,17;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000303_Black_03_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000303_Black_03_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000303_Black_03_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_01.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_02.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_03.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_05c.jpg, ;
ST303 Uni Style;'000303055o;5714485105642;ST303;&nbspQuality: 100% combed and enzyme washed cottonWeight: 200 g/m²InterlockBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Uni Style is a tight fitted T-shirt with double stitches and stitches on the side. It has a round neck and a narrow neck band.;Uni Style;05;Blue Navy;PMS 533 C;#1f2a44;5;S;32,25;DKK;80;0,17;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000303_BlueNavy_05_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/000303_BlueNavy_05_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000303_BlueNavy_05_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_01.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_02.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_03.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_05c.jpg, ;
ST303 Uni Style;'000303185o;5714485038506;ST303;&nbspQuality: 100% combed and enzyme washed cottonWeight: 200 g/m²InterlockBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Uni Style is a tight fitted T-shirt with double stitches and stitches on the side. It has a round neck and a narrow neck band.;Uni Style;18;Red;PMS 187 C;#a6192e;5;S;32,25;DKK;98;0,17;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000303_Red_18_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000303_Red_18_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000303_Red_18_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_01.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_02.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_03.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_05c.jpg, ;
ST303 Uni Style;'000303545o;5714485095608;ST303;&nbspQuality: 100% combed and enzyme washed cottonWeight: 200 g/m²InterlockBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Uni Style is a tight fitted T-shirt with double stitches and stitches on the side. It has a round neck and a narrow neck band.;Uni Style;54;Sky Blue;PMS 657 C;#c8d8eb;5;S;32,25;DKK;42;0,17;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000303_SkyBlue_54_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000303_SkyBlue_54_front.JPG, http://download.stormtextil.dk/WebShop/PackShots/000303_SkyBlue_54_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_01.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_02.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_03.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000303_Uni_Style_05c.jpg, ;
ST102 Heavy Luxe;'0001021693o;5714485008523;ST102;&nbspQuality: 100% combed and enyzme washed cottonAnthracite: 60% cotton / 40% polyesterAsh: 99% cotton / 1 % viscoseOxford Grey: 85% cotton / 15% viscoseWeight: 190 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Heavy Luxe model is an exclusive, high-quality product. A classic round-neck T-shirt, with heavy lycra rib. It has a neck band, double stitching and stitches on the sides.;Heavy Luxe;16;Bottle Green;PMS 553 C;#284734;93;5XL;34,75;DKK;21;0,32;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000102_BottleGreen_16_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/000102_BottleGreen_16_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000102_BottleGreen_16_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_01.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_02.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_04.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_04c.jpg, ;
ST102 Heavy Luxe;'000102185o;5714485008608;ST102;&nbspQuality: 100% combed and enyzme washed cottonAnthracite: 60% cotton / 40% polyesterAsh: 99% cotton / 1 % viscoseOxford Grey: 85% cotton / 15% viscoseWeight: 190 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Heavy Luxe model is an exclusive, high-quality product. A classic round-neck T-shirt, with heavy lycra rib. It has a neck band, double stitching and stitches on the sides.;Heavy Luxe;18;Red;PMS 187 C;#a6192e;5;S;28,75;DKK;161;0,18;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000102_Red_18_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000102_Red_18_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000102_Red_18_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_01.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_02.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_04.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_04c.jpg, ;
ST102 Heavy Luxe;'000102187o;5714485008653;ST102;&nbspQuality: 100% combed and enyzme washed cottonAnthracite: 60% cotton / 40% polyesterAsh: 99% cotton / 1 % viscoseOxford Grey: 85% cotton / 15% viscoseWeight: 190 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Heavy Luxe model is an exclusive, high-quality product. A classic round-neck T-shirt, with heavy lycra rib. It has a neck band, double stitching and stitches on the sides.;Heavy Luxe;18;Red;PMS 187 C;#a6192e;7;L;28,75;DKK;417;0,22;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000102_Red_18_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000102_Red_18_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000102_Red_18_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_01.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_02.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_04.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_04c.jpg, ;
ST102 Heavy Luxe;'0001021890o;5714485008691;ST102;&nbspQuality: 100% combed and enyzme washed cottonAnthracite: 60% cotton / 40% polyesterAsh: 99% cotton / 1 % viscoseOxford Grey: 85% cotton / 15% viscoseWeight: 190 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Heavy Luxe model is an exclusive, high-quality product. A classic round-neck T-shirt, with heavy lycra rib. It has a neck band, double stitching and stitches on the sides.;Heavy Luxe;18;Red;PMS 187 C;#a6192e;90;2XL;28,75;DKK;144;0,27;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000102_Red_18_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000102_Red_18_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000102_Red_18_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_01.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_02.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_04.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_04c.jpg, ;
ST102 Heavy Luxe;'0001021891o;5714485008714;ST102;&nbspQuality: 100% combed and enyzme washed cottonAnthracite: 60% cotton / 40% polyesterAsh: 99% cotton / 1 % viscoseOxford Grey: 85% cotton / 15% viscoseWeight: 190 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.The product is label free and contains only a small size label in the left side of the neck.Our Heavy Luxe model is an exclusive, high-quality product. A classic round-neck T-shirt, with heavy lycra rib. It has a neck band, double stitching and stitches on the sides.;Heavy Luxe;18;Red;PMS 187 C;#a6192e;91;3XL;31,75;DKK;49;0,29;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, ;http://download.stormtextil.dk/WebShop/PackShots/000102_Red_18_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000102_Red_18_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000102_Red_18_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_01.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_02.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_04.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000102_Heavy_Luxe_04c.jpg, ;
