ST101 Classic;'000101482o;;ST101;&nbspQuality: 100% combed and enzyme washed cottonAnthracite: 60% cotton / 40% polyesterAsh: 99% cotton / 1% viscoseOxford Grey 85% cotton / 15% viscoseHeather Black: 65% cotton / 35% polyesterWeight: 165 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.ST101 Classic is a LABELFREE&nbspT-shirt with a round neckline that only has a small size label on the left side of the neck.The T-shirt is tubular-knit 100% cotton, single jersey 165 g/m².The children's sizes are with side seams.The neck rib is made of 1x1 rib with elastane, the rib is sewed with double stitching and the T-shirt has neck tape.The sleeves and the bottom are hemmed with 7 mm double stitching.If you buy the ST101 Classic, you can expect a good quality T-shirt that suits everyone. It is available in 15 sizes and 33 different colors. The T-shirt is perfect for the next event and it is a classic in the wardrobe.&nbsp;Classic;48;Denim;PMS 2166 C;#5E819B;2;4-6 Years;17,25;DKK;0;0,22;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, Outlet, ;http://download.stormtextil.dk/WebShop/PackShots/000101_Denim_48_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/000101_Denim_48_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000101_Denim_48_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_03.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_04.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_06.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_08.jpg, ;http://download.stormtextil.dk/WebShop/Washing_instructions/Storm_washing_instructions_60.png, 
ST702 Heavy Sweat;'000702483o;;ST702;Quality: 65% combed cotton / 35% polyesterOxford Grey: 74% combed&nbspcotton / 11% polyester / 15% viscoseWeight: 320 g/m²IsoliBox: 20 pcs., pack: 5 pcs.The product is label free and contains only a small size label in the left side of the neck.This is a classic sweatshirt in top quality, with round neck and lycra rib. It has double stitches and stitches on the sides.;Heavy Sweat;48;Denim;PMS 2166 C;#5E819B;3;8-10 Years;68,55;DKK;0;0,35;61102010;Bangladesh;Sweatshirts;Crew neck, New Arrivals, ;http://download.stormtextil.dk/WebShop/PackShots/000702_Denim_48_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000702_Denim_48_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000702_Denim_48_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_04c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_05c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_06c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_07.JPG, ;
ST101 Classic;'000101483o;;ST101;&nbspQuality: 100% combed and enzyme washed cottonAnthracite: 60% cotton / 40% polyesterAsh: 99% cotton / 1% viscoseOxford Grey 85% cotton / 15% viscoseHeather Black: 65% cotton / 35% polyesterWeight: 165 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.ST101 Classic is a LABELFREE&nbspT-shirt with a round neckline that only has a small size label on the left side of the neck.The T-shirt is tubular-knit 100% cotton, single jersey 165 g/m².The children's sizes are with side seams.The neck rib is made of 1x1 rib with elastane, the rib is sewed with double stitching and the T-shirt has neck tape.The sleeves and the bottom are hemmed with 7 mm double stitching.If you buy the ST101 Classic, you can expect a good quality T-shirt that suits everyone. It is available in 15 sizes and 33 different colors. The T-shirt is perfect for the next event and it is a classic in the wardrobe.&nbsp;Classic;48;Denim;PMS 2166 C;#5E819B;3;8-10 Years;17,25;DKK;0;0,22;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, Outlet, ;http://download.stormtextil.dk/WebShop/PackShots/000101_Denim_48_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/000101_Denim_48_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000101_Denim_48_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_03.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_04.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_06.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_08.jpg, ;http://download.stormtextil.dk/WebShop/Washing_instructions/Storm_washing_instructions_60.png, 
ST702 Heavy Sweat;'0007024840o;;ST702;Quality: 65% combed cotton / 35% polyesterOxford Grey: 74% combed&nbspcotton / 11% polyester / 15% viscoseWeight: 320 g/m²IsoliBox: 20 pcs., pack: 5 pcs.The product is label free and contains only a small size label in the left side of the neck.This is a classic sweatshirt in top quality, with round neck and lycra rib. It has double stitches and stitches on the sides.;Heavy Sweat;48;Denim;PMS 2166 C;#5E819B;40;12-14 Years;68,55;DKK;0;0,35;61102010;Bangladesh;Sweatshirts;Crew neck, New Arrivals, ;http://download.stormtextil.dk/WebShop/PackShots/000702_Denim_48_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000702_Denim_48_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000702_Denim_48_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_04c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_05c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_06c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_07.JPG, ;
ST101 Classic;'0001014840o;;ST101;&nbspQuality: 100% combed and enzyme washed cottonAnthracite: 60% cotton / 40% polyesterAsh: 99% cotton / 1% viscoseOxford Grey 85% cotton / 15% viscoseHeather Black: 65% cotton / 35% polyesterWeight: 165 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.ST101 Classic is a LABELFREE&nbspT-shirt with a round neckline that only has a small size label on the left side of the neck.The T-shirt is tubular-knit 100% cotton, single jersey 165 g/m².The children's sizes are with side seams.The neck rib is made of 1x1 rib with elastane, the rib is sewed with double stitching and the T-shirt has neck tape.The sleeves and the bottom are hemmed with 7 mm double stitching.If you buy the ST101 Classic, you can expect a good quality T-shirt that suits everyone. It is available in 15 sizes and 33 different colors. The T-shirt is perfect for the next event and it is a classic in the wardrobe.&nbsp;Classic;48;Denim;PMS 2166 C;#5E819B;40;12-14 Years;17,25;DKK;0;0,22;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, Outlet, ;http://download.stormtextil.dk/WebShop/PackShots/000101_Denim_48_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/000101_Denim_48_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000101_Denim_48_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_03.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_04.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_06.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_08.jpg, ;http://download.stormtextil.dk/WebShop/Washing_instructions/Storm_washing_instructions_60.png, 
ST702 Heavy Sweat;'0007024842o;;ST702;Quality: 65% combed cotton / 35% polyesterOxford Grey: 74% combed&nbspcotton / 11% polyester / 15% viscoseWeight: 320 g/m²IsoliBox: 20 pcs., pack: 5 pcs.The product is label free and contains only a small size label in the left side of the neck.This is a classic sweatshirt in top quality, with round neck and lycra rib. It has double stitches and stitches on the sides.;Heavy Sweat;48;Denim;PMS 2166 C;#5E819B;42;XS;81,55;DKK;0;0,35;61102010;Bangladesh;Sweatshirts;Crew neck, New Arrivals, ;http://download.stormtextil.dk/WebShop/PackShots/000702_Denim_48_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000702_Denim_48_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000702_Denim_48_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_04c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_05c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_06c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_07.JPG, ;
ST101 Classic;'0001014842o;;ST101;&nbspQuality: 100% combed and enzyme washed cottonAnthracite: 60% cotton / 40% polyesterAsh: 99% cotton / 1% viscoseOxford Grey 85% cotton / 15% viscoseHeather Black: 65% cotton / 35% polyesterWeight: 165 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.ST101 Classic is a LABELFREE&nbspT-shirt with a round neckline that only has a small size label on the left side of the neck.The T-shirt is tubular-knit 100% cotton, single jersey 165 g/m².The children's sizes are with side seams.The neck rib is made of 1x1 rib with elastane, the rib is sewed with double stitching and the T-shirt has neck tape.The sleeves and the bottom are hemmed with 7 mm double stitching.If you buy the ST101 Classic, you can expect a good quality T-shirt that suits everyone. It is available in 15 sizes and 33 different colors. The T-shirt is perfect for the next event and it is a classic in the wardrobe.&nbsp;Classic;48;Denim;PMS 2166 C;#5E819B;42;XS;25;DKK;0;0,22;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, Outlet, ;http://download.stormtextil.dk/WebShop/PackShots/000101_Denim_48_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/000101_Denim_48_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000101_Denim_48_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_03.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_04.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_06.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_08.jpg, ;http://download.stormtextil.dk/WebShop/Washing_instructions/Storm_washing_instructions_60.png, 
ST702 Heavy Sweat;'000702485o;;ST702;Quality: 65% combed cotton / 35% polyesterOxford Grey: 74% combed&nbspcotton / 11% polyester / 15% viscoseWeight: 320 g/m²IsoliBox: 20 pcs., pack: 5 pcs.The product is label free and contains only a small size label in the left side of the neck.This is a classic sweatshirt in top quality, with round neck and lycra rib. It has double stitches and stitches on the sides.;Heavy Sweat;48;Denim;PMS 2166 C;#5E819B;5;S;81,55;DKK;0;0,35;61102010;Bangladesh;Sweatshirts;Crew neck, New Arrivals, ;http://download.stormtextil.dk/WebShop/PackShots/000702_Denim_48_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000702_Denim_48_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000702_Denim_48_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_04c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_05c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_06c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_07.JPG, ;
ST101 Classic;'000101485o;;ST101;&nbspQuality: 100% combed and enzyme washed cottonAnthracite: 60% cotton / 40% polyesterAsh: 99% cotton / 1% viscoseOxford Grey 85% cotton / 15% viscoseHeather Black: 65% cotton / 35% polyesterWeight: 165 g/m²Single jerseyBox: 50 pcs., pack: 10 pcs.ST101 Classic is a LABELFREE&nbspT-shirt with a round neckline that only has a small size label on the left side of the neck.The T-shirt is tubular-knit 100% cotton, single jersey 165 g/m².The children's sizes are with side seams.The neck rib is made of 1x1 rib with elastane, the rib is sewed with double stitching and the T-shirt has neck tape.The sleeves and the bottom are hemmed with 7 mm double stitching.If you buy the ST101 Classic, you can expect a good quality T-shirt that suits everyone. It is available in 15 sizes and 33 different colors. The T-shirt is perfect for the next event and it is a classic in the wardrobe.&nbsp;Classic;48;Denim;PMS 2166 C;#5E819B;5;S;25;DKK;0;0,22;61091000;Bangladesh;T-Shirts;T-Shirts crew neck, Outlet, ;http://download.stormtextil.dk/WebShop/PackShots/000101_Denim_48_back.jpg, http://download.stormtextil.dk/WebShop/PackShots/000101_Denim_48_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000101_Denim_48_side.jpg, ;http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_03.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_04.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_05.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_06.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_07.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000101_Classic_08.jpg, ;http://download.stormtextil.dk/WebShop/Washing_instructions/Storm_washing_instructions_60.png, 
ST702 Heavy Sweat;'000702486o;;ST702;Quality: 65% combed cotton / 35% polyesterOxford Grey: 74% combed&nbspcotton / 11% polyester / 15% viscoseWeight: 320 g/m²IsoliBox: 20 pcs., pack: 5 pcs.The product is label free and contains only a small size label in the left side of the neck.This is a classic sweatshirt in top quality, with round neck and lycra rib. It has double stitches and stitches on the sides.;Heavy Sweat;48;Denim;PMS 2166 C;#5E819B;6;M;81,55;DKK;0;0,35;61102010;Bangladesh;Sweatshirts;Crew neck, New Arrivals, ;http://download.stormtextil.dk/WebShop/PackShots/000702_Denim_48_back.JPG, http://download.stormtextil.dk/WebShop/PackShots/000702_Denim_48_front.jpg, http://download.stormtextil.dk/WebShop/PackShots/000702_Denim_48_side.JPG, ;http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_01c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_02c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_03c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_04c.JPG, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_05c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_06c.jpg, http://download.stormtextil.dk/WebShop/ModelShots/000702_Heavy_Sweat_07.JPG, ;
